 L=24.2113km	32.63 min	C= 29.208	Tr=67.0287	
24776.4	2003.23	29.87	67.07	
25075.2	2027.24	30.22	67.08	
25707.6	2078.04	30.94	67.16	
24627.6	1991.28	29.75	66.92	
23980.8	1939.32	28.95	66.99	
23007.6	1861.14	27.81	66.94	
25048.8	2025.12	30.21	67.03	
25142.4	2032.64	30.32	67.04	
23211.6	1877.53	28.06	66.91	
25166.4	2034.57	30.38	66.98	
22795.2	1844.08	27.59	66.83	
24052.8	1945.11	29.02	67.03	
23628	1910.98	28.51	67.03	
22858.8	1849.19	27.68	66.79	
24264	1962.07	29.25	67.07	
22401.6	1812.46	27.07	66.95	
25171.2	2034.95	30.32	67.1	
24042	1944.24	29.02	67	
23588.4	1907.8	28.48	66.99	
24658.8	1993.79	29.76	67	
25112.4	2030.23	30.23	67.15	
25515.6	2062.62	30.73	67.13	
25587.6	2068.4	30.88	66.99	
23436	1895.56	28.32	66.93	
23436	1895.56	28.32	66.93	
24620.4	1990.7	29.66	67.11	
25005.6	2021.65	30.14	67.08	
23692.8	1916.18	28.56	67.11	
23692.8	1916.18	28.56	67.11	
24272.4	1962.75	29.24	67.13	
24630	1991.47	29.65	67.17	
23487.6	1899.7	28.32	67.09	
23487.6	1899.7	28.32	67.09	
				
24118.61	1950.32	29.09	67.04	
24128.57	1951.13	29.12	67.01	
23977.74	1939.02	28.93	67.02	
24302.01	1965.07	29.31	67.05	
24235.66	1959.72	29.24	67.03	
24298.63	1964.79	29.31	67.04	 end
24298.63	1964.79	29.31	67.04	
24220.64	1958.52	29.22	67.03	
24257.53	1961.49	29.26	67.04	
24257.53	1961.49	29.26	67.04	
24076.38	1946.94	29.05	67.03	
24157	1953.42	29.14	67.02	
24390.05	1972.14	29.42	67.03	
24712.44	1998.04	29.78	67.08	
24280.08	1963.31	29.29	67.02	
24253.56	1961.18	29.27	67.01	
24619.92	1990.61	29.69	67.04	
24094.68	1948.41	29.09	66.99	
24061.92	1945.78	29.05	66.98	
24275.76	1962.96	29.3	66.99	
24212.95	1957.91	29.21	67.04	
24085.82	1947.7	29.06	67.02	
23853.7	1929.05	28.79	67	
23980.78	1939.26	28.94	67.02	
24218.3	1958.34	29.21	67.05	
