E(L)	E{T)	E©	Tr	Var
24420.24	3806.09	29.45	129.23	155442688
24239.52	3778.02	29.24	129.22	149429552
24220.08	3775	29.18	129.36	145006288
24075.6	3752.56	29.04	129.23	149044864
24352.8	3795.62	29.36	129.27	143240208
24364.8	3797.48	29.39	129.23	152924128
24174.72	3767.95	29.14	129.32	141079936
24195.36	3771.16	29.14	129.42	159856480
24013.92	3742.98	28.95	129.3	152674848
24881.04	3877.67	29.94	129.51	159294192
24038.4	3746.78	28.97	129.36	155428544
24608.4	3835.32	29.66	129.33	153086512
24342.48	3794.01	29.3	129.48	147592112
23963.04	3735.07	28.9	129.25	146545072
23868.24	3720.35	28.8	129.16	155595488
24329.76	3792.04	29.34	129.27	149159152
24045.6	3747.9	28.94	129.5	139972016
24012.72	3742.79	28.94	129.35	146546928
25243.2	3933.92	30.41	129.37	158474352
24181.68	3769.03	29.16	129.23	141697344
24315.36	3789.8	29.29	129.41	140955808
23761.92	3703.83	28.67	129.19	144243344
24608.88	3835.4	29.65	129.36	147008000
24033.84	3746.07	29	129.16	151780432
24220.8	3775.11	29.19	129.34	146378320
24673.44	3845.42	29.71	129.41	145566368
24212.16	3773.77	29.14	129.51	145816816
24906.24	3881.58	30.03	129.26	147911584
24649.92	3841.77	29.67	129.48	153238688
23351.76	3640.12	28.18	129.18	149570208
23810.88	3711.43	28.72	129.22	132786944
24222.72	3775.41	29.2	129.29	151646128
24574.56	3830.06	29.6	129.38	141667088
24179.76	3768.73	29.15	129.29	138860976
24012	3742.68	28.94	129.34	144478496
24441.84	3809.44	29.48	129.23	151431840
24486.24	3816.34	29.48	129.46	149061984
24157.44	3765.27	29.12	129.31	152223792
23787.84	3707.86	28.72	129.11	143152528
24870.96	3876.1	29.95	129.43	152575312
24250.56	3779.73	29.22	129.36	153844592
24614.4	3836.25	29.64	129.45	153206096
24206.64	3772.91	29.18	129.3	137339936
24101.52	3756.58	29.04	129.37	140725840
24376.08	3799.23	29.4	129.21	143878640
23778.96	3706.48	28.68	129.26	150331328
24375.36	3799.12	29.34	129.5	149176768
24551.04	3826.41	29.58	129.34	148184304
24788.16	3863.24	29.83	129.53	139570688
24635.76	3839.57	29.67	129.4	154665168
23447.76	3655.03	28.29	129.21	142558240
23314.08	3634.27	28.1	129.33	144596400
24531.84	3823.43	29.58	129.27	149010240
24351.84	3795.46	29.33	129.4	139692000
25295.52	3942.05	30.42	129.6	155410848
23546.4	3670.35	28.39	129.29	149218720
25063.2	3905.96	30.2	129.35	135212304
24407.76	3804.15	29.44	129.22	145691456
24232.08	3776.86	29.22	129.25	145046352
24520.56	3821.67	29.56	129.27	157438400
24186.72	3769.81	29.13	129.41	139359312
24804.24	3865.74	29.88	129.38	155736624
24107.04	3757.44	29.05	129.36	144457568
24738.72	3855.56	29.78	129.48	136083296
23434.56	3652.98	28.31	129.04	140390160
24234.72	3777.27	29.21	129.32	146631088
23689.44	3692.57	28.6	129.09	138740256
24399.36	3802.85	29.39	129.41	145426336
23927.28	3729.52	28.83	129.37	147167664
