 L		  T         C      Tr
24776.40	2003.23	  29.87	  67.07
25075.20	2027.24	  30.22	  67.08
25707.60	2078.04	  30.94	  67.16
24627.60	1991.28	  29.75	  66.92
23980.80	1939.32	  28.95	  66.99
23007.60	1861.14	  27.81	  66.94
25048.80	2025.12	  30.21	  67.03
25142.40	2032.64	  30.32	  67.04
23211.60	1877.53	  28.06	  66.91
25166.40	2034.57	  30.38	  66.98
22795.20	1844.08	  27.59	  66.83
24052.80	1945.11	  29.02	  67.03
23628.00	1910.98	  28.51	  67.03
22858.80	1849.19	  27.68	  66.79
24264.00	1962.07	  29.25	  67.07
22401.60	1812.46	  27.07	  66.95
25171.20	2034.95	  30.32	  67.10
24042.00	1944.24	  29.02	  67.00
23588.40	1907.80	  28.48	  66.99
24658.80	1993.79	  29.76	  67.00
25112.40	2030.23	  30.23	  67.15
25515.60	2062.62	  30.73	  67.13
25587.60	2068.40	  30.88	  66.99
23436.00	1895.56	  28.32	  66.93
23436.00	1895.56	  28.32	  66.93
24620.40	1990.70	  29.66	  67.11
25005.60	2021.65	  30.14	  67.08
23692.80	1916.18	  28.56	  67.11
23692.80	1916.18	  28.56	  67.11
24272.40	1962.75	  29.24	  67.13
24630.00	1991.47	  29.65	  67.17
23487.60	1899.70	  28.32	  67.09
23487.60	1899.70	  28.32	  67.09

24118.61	1950.32	  29.09	  67.04
24128.57	1951.13	  29.12	  67.01
23977.74	1939.02	  28.93	  67.02
24302.01	1965.07	  29.31	  67.05
24235.66	1959.72	  29.24	  67.03
24298.63	1964.79	  29.31	  67.04
24298.63	1964.79	  29.31	  67.04
24220.64	1958.52	  29.22	  67.03
24257.53	1961.49	  29.26	  67.04
24257.53	1961.49	  29.26	  67.04
24076.38	1946.94	  29.05	  67.03
24157.00	1953.42	  29.14	  67.02
24390.05	1972.14	  29.42	  67.03
24712.44	1998.04	  29.78	  67.08
24280.08	1963.31	  29.29	  67.02
24253.56	1961.18	  29.27	  67.01
24619.92	1990.61	  29.69	  67.04
24094.68	1948.41	  29.09	  66.99
24061.92	1945.78	  29.05	  66.98
24275.76	1962.96	  29.30	  66.99
24212.95	1957.91	  29.21	  67.04
24085.82	1947.70	  29.06	  67.02
23853.70	1929.05	  28.79	  67.00
23980.78	1939.26	  28.94	  67.02
24218.30	1958.34	  29.21	  67.05
